id,age,height,weight,inseam,armLength,shoulderLength,chestCirc,waistCirc,hipCirc,kneeCirc,calfCirc,armCirc,headCirc
6_2262,38,1604,55,710,535,385,889,722,913,324,342,285,559
6_2263,31,1614,55,744,562,415,865,698,918,355,368,286,571
6_2264,35,1627,50,739,522,377,812,665,906,338,323,265,543
6_2265,31,1594,66,689,545,394,948,832,1085,364,345,316,554
6_2266,32,1639,54,723,536,364,931,710,872,341,319,285,546
6_2267,33,1514,45,694,487,386,881,693,833,324,312,275,565
6_2268,32,1579,53,670,510,396,873,700,906,356,333,284,566
6_2269,31,1509,51,665,485,357,844,740,912,335,328,302,548
6_2271,33,1609,70,717,511,385,994,887,1018,374,366,372,556
6_2272,31,1679,62,753,541,394,924,770,960,352,362,302,562
6_2273,35,1559,52,681,519,337,854,680,908,349,347,269,561
6_2274,36,1577,56,680,503,360,895,743,939,343,341,291,532
6_2275,34,1667,52,749,548,400,880,666,891,330,322,295,569
6_2276,37,1602,53,690,499,356,859,698,877,353,354,294,554
6_2277,39,1602,60,690,507,386,904,727,976,355,379,288,546
6_2278,33,1634,54,711,528,383,856,689,926,345,367,277,547
6_2279,31,1507,44,621,482,337,802,585,839,334,316,262,586
6_2280,36,1629,51,730,514,367,786,664,920,360,342,265,559
6_2281,37,1587,74,688,503,379,1032,823,1034,408,405,352,532
6_2282,37,1599,54,681,522,363,876,726,919,318,315,294,532
6_2283,39,1597,54,718,514,397,856,698,906,346,349,284,557
6_2284,31,1584,62,696,505,408,950,794,977,344,360,317,559
6_2285,30,1604,52,736,541,387,883,723,871,339,349,277,533
6_2286,39,1589,51,713,517,347,839,662,883,338,344,264,554
6_2287,36,1569,46,703,514,357,795,631,861,325,327,257,568
6_2288,37,1609,51,748,526,323,836,704,862,333,341,305,559
6_2289,38,1647,59,728,545,384,892,740,992,349,344,292,572
6_2290,36,1614,51,712,522,384,894,698,874,326,328,275,580
6_2291,38,1577,51,698,510,344,817,684,904,340,338,290,566
6_2292,36,1669,57,734,529,379,889,655,936,363,334,291,567
6_2293,36,1549,53,660,515,379,876,713,909,319,327,277,566
6_2294,39,1549,58,674,499,380,886,797,921,406,379,293,615
6_2295,39,1529,52,671,492,369,921,712,894,342,325,329,581
6_2296,33,1652,54,752,524,362,863,682,903,322,333,279,585
6_2297,38,1704,78,742,541,406,1024,869,1069,411,388,350,573
6_2298,30,1642,63,724,544,369,919,735,965,367,361,303,556
6_2299,36,1589,61,693,519,385,935,811,955,355,348,312,572
6_2300,38,1572,48,720,535,376,819,673,884,317,317,291,570
6_2301,35,1642,68,714,551,389,944,859,1016,388,362,332,564
6_2302,32,1577,45,704,514,350,791,637,883,337,317,270,578
6_2303,38,1627,70,707,514,417,936,811,1018,397,384,344,564
6_2304,34,1584,54,708,506,372,841,667,914,357,357,285,572
6_2305,39,1697,72,725,550,382,965,801,1027,385,369,366,562
6_2306,36,1707,62,815,568,408,896,736,952,359,356,306,573
6_2307,34,1664,67,700,532,358,873,743,1057,373,383,300,598
6_2308,36,1604,53,693,496,360,820,650,914,377,379,326,578
6_2309,39,1649,74,733,535,392,998,891,1000,384,406,346,559
6_2310,36,1502,55,648,473,361,872,751,989,366,357,303,584
6_2311,36,1609,68,701,515,417,933,827,1029,390,397,321,539
6_2312,37,1572,58,673,493,362,915,740,944,374,367,321,573
6_2313,38,1547,54,668,491,380,881,729,928,351,342,284,598
6_2314,34,1622,54,711,533,398,910,721,879,321,357,283,573
6_2315,34,1584,46,710,507,355,791,634,874,323,318,267,558
6_2316,35,1639,63,724,518,417,966,777,938,357,372,325,560
6_2317,39,1537,47,679,490,355,825,698,875,329,318,289,591
6_2318,30,1659,55,763,507,348,860,677,925,334,343,247,563
6_2319,31,1687,59,762,546,370,867,715,968,349,338,320,566
6_2321,34,1619,59,727,536,374,893,723,976,356,343,287,577
6_2322,30,1589,57,720,509,356,888,744,922,348,351,284,568
6_2323,32,1627,71,725,532,378,924,797,1028,396,406,330,552
6_2324,33,1652,57,751,534,390,881,716,945,347,359,311,576
6_2325,35,1637,65,747,560,379,950,791,1011,368,378,313,555
6_2326,38,1639,58,771,562,357,941,752,911,326,328,282,566
6_2327,34,1619,65,730,512,418,985,790,968,351,385,342,555
6_2328,39,1622,68,710,522,388,911,756,1048,373,399,348,554
6_2329,33,1629,49,717,530,354,840,683,870,330,335,268,558
6_2330,31,1667,53,741,561,342,866,679,925,321,322,286,535
6_2331,30,1659,55,714,503,366,867,698,990,340,321,255,559
6_2332,39,1579,69,707,514,400,991,866,1007,355,398,350,554
6_2333,35,1559,70,667,503,388,1010,933,1038,350,382,344,560
6_2334,31,1527,54,684,492,374,920,763,909,339,322,302,565
6_2335,32,1637,52,731,512,363,847,664,924,347,328,270,569
6_2336,31,1562,59,696,507,363,944,799,962,342,344,311,554
6_2337,39,1612,51,719,511,371,872,686,894,330,315,272,559
6_2338,38,1594,49,710,520,391,838,642,889,323,313,275,553
6_2339,37,1567,73,702,529,395,1032,982,1025,361,383,357,537
6_2340,31,1632,56,728,545,369,888,716,946,351,346,273,541
6_2341,36,1597,45,700,509,361,825,636,870,328,275,257,541
6_2342,34,1592,51,701,517,364,847,673,899,339,324,300,532
6_2343,36,1624,51,756,541,379,821,641,872,337,327,258,554
6_2344,30,1627,70,706,527,387,952,840,1033,386,378,369,569
