age,height,weight,bellyCirc,waistCirc,wristCirc,neckCirc,ArmLength,ThighCirc,shoulderWidth,Hips,armfitCirc,inseam,bodyLength,headCirc,hipLength,bodyvalue
38,163,61,81,78,17,35,55,65,42,91,45,73,57,59,17,204
39,172,78,90,88,20,40,59,64,46,97,46,75,62,60,18,224
39,170,73,86,88,19,38,58,63,47,92,47,75,62,58,18,221
39,163,76,87,89,18,40,51,70,46,99,46,69,62,57,19,222
39,174,77,93,89,19,38,56,69,44,98,41,76,63,60,20,223
39,166,49,67,63,16,34,55,47,42,83,39,74,60,57,19,169
39,173,72,84,82,19,38,59,64,42,94,46,77,63,59,21,212
33,176,80,88,86,19,37,59,68,44,101,47,82,61,56,20,221
31,181,73,84,81,18,37,60,62,45,95,44,79,67,56,21,209
39,166,75,94,95,19,38,55,70,44,99,47,71,64,56,17,236
35,165,67,83,81,19,38,56,52,44,91,45,74,59,60,18,209
35,172,60,75,74,17,34,57,62,46,91,41,76,63,57,19,190
33,172,73,85,82,18,37,65,62,43,96,44,76,64,59,22,211
37,174,77,93,91,19,39,61,66,43,99,45,78,63,61,22,229
38,177,75,89,84,20,39,60,59,44,98,47,80,67,58,23,220
36,165,77,93,89,19,38,54,64,44,101,43,72,60,59,19,225
38,169,63,82,78,17,36,57,52,44,92,41,75,61,58,19,201
36,183,98,97,96,18,38,59,67,50,107,49,83,67,60,21,242
37,177,85,98,92,18,40,61,65,45,103,47,79,65,62,22,237
35,172,61,80,76,17,35,56,61,42,92,40,76,62,57,21,196
33,178,78,87,80,18,37,60,67,48,98,46,77,66,59,22,213
36,176,78,92,90,19,38,58,63,48,99,45,78,65,60,23,227
35,177,77,89,84,18,35,58,63,43,100,45,80,64,59,20,218
35,173,78,88,85,20,38,58,67,44,99,46,75,62,58,18,219
38,163,57,87,82,16,33,56,57,41,88,41,73,60,52,20,210
38,162,73,90,89,19,38,52,66,43,96,43,69,59,56,17,222
38,170,70,87,83,18,37,55,56,44,100,44,77,60,60,18,214
37,171,59,77,71,18,33,59,51,44,92,38,76,62,56,18,186
36,164,56,74,73,16,35,52,50,41,87,38,71,62,56,21,185
38,172,67,84,84,18,36,57,59,44,94,41,76,61,59,18,209
38,171,63,75,73,18,34,58,52,43,91,43,79,61,59,19,191
37,171,71,87,82,17,37,57,58,43,96,47,76,62,56,22,216
38,179,94,102,98,19,39,62,65,44,108,48,79,65,58,20,248
38,164,67,87,85,18,38,54,63,43,95,42,71,59,57,18,214
37,180,75,90,88,18,37,62,61,44,99,43,80,66,58,22,221
39,169,72,80,79,19,42,58,63,47,94,42,75,61,59,18,201
36,177,71,85,81,18,37,60,59,46,86,44,76,64,56,20,210
36,172,86,88,87,20,39,57,66,44,101,50,77,63,58,19,225
36,174,67,83,81,17,37,57,61,46,93,42,78,63,55,21,206
39,172,82,92,89,19,38,57,70,43,103,48,76,63,58,21,229
39,162,76,96,93,19,39,54,66,45,99,43,68,60,56,19,232
37,172,80,92,90,18,43,57,59,42,100,48,77,61,56,19,230
37,161,66,93,82,17,36,54,61,42,97,43,69,59,57,18,218
37,182,109,117,117,20,46,63,69,48,112,51,79,67,60,19,285
39,168,72,88,85,20,37,54,66,43,96,45,71,64,57,22,218
38,165,68,84,79,17,36,56,63,44,94,50,72,59,57,18,213
39,172,76,88,90,20,38,58,64,42,97,43,74,64,60,21,221
39,166,58,75,74,18,34,55,53,41,92,40,74,60,57,20,189
37,170,70,87,84,19,35,56,66,41,95,42,71,62,57,21,213
37,163,75,96,95,18,42,53,56,41,98,43,67,61,60,21,234
32,177,83,90,88,19,39,58,64,45,103,44,79,65,58,20,222
38,174,86,106,101,18,38,59,71,47,106,42,77,62,58,19,249
38,171,66,81,80,18,39,56,55,46,91,41,76,60,57,23,202
37,175,68,82,79,17,34,59,56,44,94,42,81,61,59,20,203
36,163,64,84,80,16,38,51,57,44,95,43,71,60,57,24,207
38,159,58,77,73,16,34,54,58,38,91,40,71,55,58,20,190
38,174,63,80,77,17,36,58,51,44,90,43,79,61,57,18,200
38,176,97,103,106,20,43,60,63,49,102,49,79,63,63,16,258
36,168,70,86,87,17,39,57,57,45,93,47,77,61,60,19,220
39,166,84,95,95,20,40,56,64,46,101,49,74,60,60,16,239
36,162,64,78,78,18,35,54,56,44,95,44,71,60,57,17,200
39,165,62,83,81,16,37,52,54,45,90,42,71,60,56,18,206
36,179,68,84,76,16,34,63,57,44,95,42,81,66,59,21,202
39,169,64,75,74,17,35,56,54,46,89,40,75,59,56,17,189
37,174,73,91,85,17,39,57,60,44,97,44,78,62,57,21,220
35,171,64,83,77,16,35,57,54,46,93,42,76,63,59,19,202
35,175,65,76,72,17,34,58,55,43,94,42,79,62,57,20,190
36,171,74,86,82,18,39,57,67,42,97,45,78,61,58,19,213
38,166,68,88,87,17,40,55,61,43,95,44,73,61,56,17,219
38,170,62,77,71,17,36,57,53,42,90,42,75,63,58,19,190
37,174,77,92,91,18,38,58,56,42,94,45,77,61,60,17,228
